epoch,temporal_emerald,temporal_topaz
854,0.015669698,0.01685187
855,0.010769947,0.013276087
856,0.01191871,0.014137306
857,0.016880805,0.018912052
858,0.016059155,0.018467962
859,0.011564767,0.012204698
860,0.012254453,0.012535064
861,0.008871869,0.008351742
862,0.010565816,0.011321887
863,0.010202538,0.01034514
